Time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T19:00:09.670Z,35.7111667,-117.5513333,1.99,3.22,ml,51,58,0.1109,0.15,ci,ci38443751,2022-06-21T05:13:09.242Z,"15km WSW of Searles Valley, CA",earthquake,0.14,0.25,0.111,23,reviewed,ci,ci
2019-07-04T18:57:15.610Z,35.6888333,-117.5293333,5.72,3.22,ml,15,135,0.1158,0.22,ci,ci37230948,2019-10-18T19:43:10.717Z,"14km SW of Searles Valley, CA",earthquake,0.53,2.52,0.163,6,reviewed,ci,ci
2019-07-04T18:56:22.030Z,35.7086667,-117.5541667,1.16,4.21,mlr,18,89,0.1125,0.26,ci,ci37420717,2019-07-31T15:54:21.742Z,"15km NE of Ridgecrest, CA",earthquake,0.38,0.6,0.124,25,reviewed,ci,ci
2019-07-04T18:56:06.420Z,35.716,-117.56,1.92,4.58,mw,82,36,0.1041,0.17,ci,ci38443719,2020-05-21T01:06:05.310Z,"15km NE of Ridgecrest, CA",earthquake,0.09,0.21,,6,reviewed,ci,ci
2019-07-04T18:55:27.680Z,35.6753333,-117.4795,10.71,3.03,ml,25,87,0.08975,0.13,ci,ci38443711,2022-06-21T05:12:45.042Z,"12km SSW of Searles Valley, CA",earthquake,0.23,0.47,0.153,15,reviewed,ci,ci
2019-07-04T18:54:13.990Z,35.5975,-117.5996667,5.33,4.07,mlr,58,30,0.1126,0.13,ci,ci38443703,2020-05-21T01:05:12.109Z,"7km ESE of Ridgecrest, CA",earthquake,0.11,0.66,0.145,334,reviewed,ci,ci
2019-07-04T18:53:27.670Z,35.7285,-117.5605,7.87,3.36,ml,38,57,0.09211,0.13,ci,ci38443695,2019-09-26T14:30:11.040Z,"15km WSW of Searles Valley, CA",earthquake,0.14,0.54,0.153,27,reviewed,ci,ci
2019-07-04T18:53:03.340Z,35.6703333,-117.547,4.9,3.08,ml,18,132,0.1085,0.21,ci,ci37230836,2019-10-18T14:57:45.531Z,"13km ENE of Ridgecrest, CA",earthquake,0.33,0.8,0.146,10,reviewed,ci,ci
2019-07-04T18:50:15.910Z,35.682,-117.4961667,1.26,3.7,mlr,45,54,0.09923,0.19,ci,ci38443671,2019-09-26T14:30:11.040Z,"13km SW of Searles Valley, CA",earthquake,0.17,0.35,0.145,262,reviewed,ci,ci
2019-07-04T18:47:59.170Z,35.6708333,-117.4686667,10.52,3.22,ml,18,113,0.08431,0.15,ci,ci37230564,2019-10-17T20:10:50.342Z,"12km SSW of Searles Valley, CA",earthquake,0.29,0.66,0.088,7,reviewed,ci,ci
2019-07-04T18:47:44.310Z,35.6876667,-117.5146667,7.87,3.33,ml,14,164,0.1096,0.18,ci,ci37230556,2019-10-17T19:50:43.749Z,"13km SW of Searles Valley, CA",earthquake,0.43,1.69,0.094,8,reviewed,ci,ci
2019-07-04T18:47:22.600Z,35.6755,-117.472,10.27,4.02,mlr,22,169,0.08916,0.17,ci,ci37421213,2019-08-28T20:56:31.600Z,"12km SSW of Searles Valley, CA",earthquake,0.34,0.77,0.114,15,reviewed,ci,ci
2019-07-04T18:47:06.590Z,35.6758333,-117.4853333,8.53,4.34,mw,65,47,0.09111,0.16,ci,ci38443647,2019-09-26T14:30:11.040Z,"13km SW of Searles Valley, CA",earthquake,0.14,0.43,,4,reviewed,ci,ci
2019-07-04T18:44:25.000Z,35.719,-117.5586667,2.06,3.09,ml,52,57,0.1016,0.16,ci,ci38443631,2019-09-26T14:30:11.040Z,"15km WSW of Searles Valley, CA",earthquake,0.12,0.26,0.127,183,reviewed,ci,ci
2019-07-04T18:41:14.270Z,35.6763333,-117.5115,2.13,3.07,ml,27,101,0.09822,0.15,ci,ci38443615,2019-09-26T14:30:11.040Z,"14km SW of Searles Valley, CA",earthquake,0.2,0.49,0.144,18,reviewed,ci,ci
2019-07-04T18:40:56.740Z,35.652,-117.5368333,2.03,3.05,ml,26,73,0.08927,0.12,ci,ci37224612,2019-08-28T20:35:58.217Z,"13km ENE of Ridgecrest, CA",earthquake,0.16,0.41,0.064,10,reviewed,ci,ci
2019-07-04T18:39:44.440Z,35.6013333,-117.597,2.81,4.59,mw,48,39,0.1109,0.14,ci,ci38443607,2020-05-21T01:04:23.535Z,"7km ESE of Ridgecrest, CA",earthquake,0.13,0.43,,4,reviewed,ci,ci
2019-07-04T18:28:43.640Z,35.6661667,-117.5656667,7.14,3.75,mlr,45,43,0.1159,0.13,ci,ci38443543,2022-06-16T17:42:59.588Z,"11km ENE of Ridgecrest, CA",earthquake,0.13,0.46,0.143,30,reviewed,ci,ci
2019-07-04T18:27:59.440Z,35.745,-117.5521667,6.64,4.23,mlr,57,44,0.07964,0.15,ci,ci38443535,2019-09-26T14:30:10.040Z,"14km W of Searles Valley, CA",earthquake,0.12,0.41,0.141,43,reviewed,ci,ci
2019-07-04T18:27:26.770Z,35.6748333,-117.5143333,2.68,3.29,ml,40,62,0.09784,0.13,ci,ci38443527,2019-09-26T14:30:10.040Z,"14km SW of Searles Valley, CA",earthquake,0.14,0.39,0.128,31,reviewed,ci,ci
2019-07-04T18:26:03.750Z,35.6638333,-117.5245,2.53,3.13,ml,47,61,0.09236,0.13,ci,ci38443519,2019-09-26T14:30:10.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.13,0.45,0.149,26,reviewed,ci,ci
2019-07-04T18:18:45.720Z,35.638,-117.611,9.43,3.38,ml,61,36,0.1259,0.14,ci,ci38443487,2022-09-24T01:02:03.459Z,"6km ENE of Ridgecrest, CA",earthquake,0.11,0.33,0.141,50,reviewed,ci,ci
2019-07-04T18:15:12.820Z,35.6691667,-117.5203333,1.84,3.23,ml,28,81,0.09512,0.2,ci,ci37420701,2019-08-22T23:22:56.767Z,"15km ENE of Ridgecrest, CA",earthquake,0.22,0.36,0.14,192,reviewed,ci,ci
2019-07-04T18:13:51.400Z,35.7081667,-117.485,6.44,3.5,ml,27,63,0.1228,0.16,ci,ci38443439,2019-09-26T14:31:02.040Z,"10km SW of Searles Valley, CA",earthquake,0.2,0.71,0.178,166,reviewed,ci,ci
2019-07-04T18:12:52.070Z,35.6703333,-117.5605,6.91,3.44,ml,38,58,0.1158,0.14,ci,ci38443431,2019-09-26T14:30:10.040Z,"12km ENE of Ridgecrest, CA",earthquake,0.14,0.49,0.138,92,reviewed,ci,ci
2019-07-04T18:10:32.710Z,35.6598333,-117.5348333,10.25,3.46,ml,43,44,0.09411,0.14,ci,ci38443415,2019-09-26T14:30:10.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.14,0.32,0.13,27,reviewed,ci,ci
2019-07-04T18:08:45.070Z,35.7108333,-117.4768333,1.17,3.55,ml,29,108,0.1246,0.16,ci,ci37223308,2019-09-26T14:31:14.040Z,"9km SW of Searles Valley, CA",earthquake,0.22,0.51,0.123,216,reviewed,ci,ci
2019-07-04T18:08:33.160Z,35.6678333,-117.5061667,2.27,3.38,ml,35,62,0.08871,0.15,ci,ci38443407,2019-09-26T14:31:14.040Z,"14km SW of Searles Valley, CA",earthquake,0.19,0.59,0.147,80,reviewed,ci,ci
2019-07-04T18:07:20.290Z,35.5688333,-117.6365,6.67,3.02,ml,17,121,0.09656,0.2,ci,ci37259964,2020-02-18T19:26:35.760Z,"7km SSE of Ridgecrest, CA",earthquake,0.3,0.9,0.222,4,reviewed,ci,ci
2019-07-04T18:07:10.910Z,35.6508333,-117.542,2.77,3.49,ml,15,145,0.09137,0.12,ci,ci37223244,2019-08-22T00:36:36.328Z,"12km ENE of Ridgecrest, CA",earthquake,0.21,0.56,0.143,6,reviewed,ci,ci
2019-07-04T18:07:09.270Z,35.5991667,-117.6101667,2.12,3.51,mlr,42,37,0.1213,0.18,ci,ci38443391,2022-06-16T17:42:42.698Z,"6km ESE of Ridgecrest, CA",earthquake,0.16,0.31,0.165,49,reviewed,ci,ci
2019-07-04T18:06:16.110Z,35.6606667,-117.523,2.14,3.79,mlr,47,61,0.08905,0.16,ci,ci38443383,2019-09-26T14:30:10.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.14,0.37,0.128,33,reviewed,ci,ci
2019-07-04T18:01:31.230Z,35.5978333,-117.5905,6.79,3.42,ml,24,97,0.1052,0.17,ci,ci37223156,2019-08-21T18:06:24.440Z,"8km ESE of Ridgecrest, CA",earthquake,0.26,0.78,0.152,16,reviewed,ci,ci
2019-07-04T18:01:23.180Z,35.6876667,-117.5085,1.26,3.53,mlr,37,62,0.1078,0.16,ci,ci37422005,2022-06-19T00:26:32.632Z,"13km SW of Searles Valley, CA",earthquake,0.21,0.41,0.163,230,reviewed,ci,ci
2019-07-04T17:58:02.640Z,35.702,-117.5083333,4.77,3.33,ml,39,61,0.1212,0.16,ci,ci38443319,2019-09-26T14:30:10.040Z,"12km SW of Searles Valley, CA",earthquake,0.16,0.6,0.149,37,reviewed,ci,ci
